Label,File,Jf,Ja,Bandwidth,Power_dB
Croatia: Diver & DPV,RBW6737_20250723_100300.wav,0.9599569447171343,0.6916821671570741,3.0,-40.88665
Croatia: Diver & DPV,RBW6737_20250723_100400.wav,0.9522992117639081,0.8386908822942498,3.0,-43.228718
Croatia: Diver & DPV,RBW6737_20250723_100500.wav,0.9223455331912422,0.6150236605508506,3.0,-43.265045
Croatia: Diver & DPV,RBW6737_20250723_100600.wav,0.9666105140250293,0.6786110881951575,4.0,-40.788986
Croatia: Diver & DPV,RBW6737_20250723_100700.wav,0.9385195601301451,0.46961391743339803,3.0,-40.75417
Croatia: Diver & DPV,RBW6737_20250723_100800.wav,0.8363573700970134,0.6241842980016289,5.0,-41.626938
Croatia: Diver & DPV,RBW6737_20250723_100900.wav,0.9309938434041262,0.5362515148126725,4.0,-40.27761
Croatia: Diver & DPV,RBW6737_20250723_101000.wav,0.933367821376259,0.5496045325015454,5.0,-41.969967
Croatia: Diver & DPV,RBW6737_20250723_101100.wav,0.9668404814509574,0.6875719244375893,2.0,-39.966633
Croatia: Diver & DPV,RBW6737_20250723_101200.wav,0.929139684218118,0.7193002432881284,3.0,-40.776676
Croatia: Diver & DPV,RBW6737_20250723_101300.wav,0.9640022559894209,0.8387950150791167,28.0,-41.245743
Croatia: Diver & DPV,RBW6737_20250723_101400.wav,0.9836501430967974,0.817681137490205,17.0,-41.82816
Croatia: Diver & DPV,RBW6737_20250723_101500.wav,0.9538881095682847,0.7530786701618261,36.0,-44.3254
Croatia: Diver & DPV,RBW6737_20250723_101600.wav,0.8458281252690915,0.6406515789267694,4.0,-45.15469
Croatia: Diver & DPV,RBW6737_20250723_101700.wav,0.9960681563324613,0.8120282594505565,27.0,-44.238773
Croatia: Diver & DPV,RBW6737_20250723_101800.wav,0.9242477520888731,0.7583774641506533,16.0,-42.76879
Croatia: Diver & DPV,RBW6737_20250723_101900.wav,0.9279767153343208,0.6906924849717787,20.0,-41.254433
Croatia: Diver & DPV,RBW6737_20250723_102000.wav,0.8306645481370262,0.6718173940483704,11.0,-45.385445
Croatia: Diver & DPV,RBW6737_20250723_102100.wav,0.8276549100481286,0.7129223475659788,22.0,-45.139526
Croatia: Diver & DPV,RBW6737_20250723_102200.wav,0.8139013715887483,0.7602719275137693,6.0,-46.278896
Croatia: Diver & DPV,RBW6737_20250723_102300.wav,0.9965507657564018,0.7331682495372464,31.0,-42.853745
Croatia: Diver & DPV,RBW6737_20250723_102400.wav,0.9420727991663115,0.7750435458982281,51.0,-45.316715
Croatia: Diver & DPV,RBW6737_20250723_102500.wav,0.8957126087000793,0.8688799079367868,3.0,-46.806366
Croatia: Diver & DPV,RBW6737_20250723_102600.wav,0.9267004770638297,0.883082105682622,5.0,-46.9003
Croatia: Diver & DPV,RBW6737_20250723_102700.wav,0.8644117332935172,0.9186549409753243,52.0,-41.56101
Croatia: Diver & DPV,RBW6737_20250723_102800.wav,0.8930580277727937,0.8052462842658006,124.0,-37.46769
Croatia: Diver & DPV,RBW6737_20250723_102900.wav,0.8616925780756666,0.7999505065358123,9.0,-42.432922
Croatia: Diver & DPV,RBW6737_20250723_103000.wav,0.9336373279317393,0.7958534170507653,8.0,-40.768127
Croatia: Diver & DPV,RBW6737_20250723_103100.wav,0.994402775770117,0.7990263032763635,37.0,-40.70125
Croatia: Diver & DPV,RBW6737_20250723_103200.wav,0.9916835223531087,0.8336389818471037,24.0,-41.098457
Croatia: Diver & DPV,RBW6737_20250723_103300.wav,0.9436599507517536,0.8280339371608204,26.0,-41.939667
Croatia: Diver & DPV,RBW6737_20250723_103400.wav,0.932077506033593,0.671311634542518,7.0,-41.097168
Croatia: Diver & DPV,RBW6737_20250723_103500.wav,0.9118190284184552,0.627091563398006,5.0,-41.645504
Croatia: Diver & DPV,RBW6737_20250723_103600.wav,0.8361734079003055,0.8225584784338554,15.0,-41.38012
Croatia: Diver & DPV,RBW6737_20250723_103700.wav,0.8581588409918849,0.8384254009342008,11.0,-40.863556
Croatia: Diver & DPV,RBW6737_20250723_103800.wav,0.9523635875997988,0.8701677078319477,33.0,-42.006603
Croatia: Diver & DPV,RBW6737_20250723_103900.wav,0.98860265346973,0.8382417858671776,22.0,-41.94006
Croatia: Diver & DPV,RBW6737_20250723_104000.wav,0.8891738315938337,0.7875200702923485,29.0,-43.241013
Croatia: Diver & DPV,RBW6737_20250723_104100.wav,0.877423541826771,0.8700869123119207,22.0,-41.17436
Croatia: Diver & DPV,RBW6737_20250723_104200.wav,0.9785035057630815,0.8409047269772719,6.0,-42.011967
Croatia: Diver & DPV,RBW6737_20250723_104300.wav,0.8750690778708842,0.8153098281783905,10.0,-41.248047
Croatia: Diver & DPV,RBW6737_20250723_104400.wav,0.9067702475536695,0.8267212532492638,4.0,-40.136127
Croatia: Diver & DPV,RBW6737_20250723_104500.wav,0.9620347968588513,0.778191402917499,19.0,-38.712563
Croatia: Diver & DPV,RBW6737_20250723_104600.wav,0.9886049932357595,0.7553366492638579,30.0,-41.1927
Croatia: Diver & DPV,RBW6737_20250723_104700.wav,0.9550735443837234,0.8108492633370029,31.0,-40.954395
Croatia: Diver & DPV,RBW6737_20250723_104800.wav,0.9099673314783866,0.8095579696768027,9.0,-41.781727
Croatia: Diver & DPV,RBW6737_20250723_104900.wav,0.882190267844858,0.5836235054560203,12.0,-37.043743
Croatia: Diver & DPV,RBW6737_20250724_091100.wav,0.7064428223404698,0.7073669736610079,148.0,-39.971905
Croatia: Diver & DPV,RBW6737_20250724_091200.wav,0.798656528629909,0.715646920073938,146.0,-40.342537
Croatia: Diver & DPV,RBW6737_20250724_091300.wav,0.8060190734237153,0.7570375934577807,105.0,-39.84322
Croatia: Diver & DPV,RBW6737_20250724_091400.wav,0.7893102053350289,0.7176791381787951,158.0,-39.70904
Croatia: Diver & DPV,RBW6737_20250724_091500.wav,0.8072192208058814,0.6905113359949103,135.0,-36.750793
Croatia: Diver & DPV,RBW6737_20250724_091600.wav,0.8174547123030952,0.7597355676233856,152.0,-38.03396
Croatia: Diver & DPV,RBW6737_20250724_091700.wav,0.6919896405210061,0.7517810709541836,134.0,-39.454933
Croatia: Diver & DPV,RBW6737_20250724_091800.wav,0.7299482985335911,0.7255009346007784,4.0,-41.571598
Croatia: Diver & DPV,RBW6737_20250724_091900.wav,0.7878839597351996,0.7810989870598718,3.0,-40.22718
Croatia: Diver & DPV,RBW6737_20250724_092000.wav,0.8808615481284541,0.7668013637107786,4.0,-38.087456
Croatia: Diver & DPV,RBW6737_20250724_092100.wav,0.8589546323928062,0.7873097677100861,3.0,-38.783207
Croatia: Diver & DPV,RBW6737_20250724_092200.wav,0.830340321422086,0.7688561354776566,3.0,-40.65668
Croatia: Diver & DPV,RBW6737_20250724_092300.wav,0.9008304359185971,0.8272206636221836,3.0,-39.65356
Croatia: Diver & DPV,RBW6737_20250724_092400.wav,0.885493498795738,0.8424122082717339,3.0,-38.72376
Croatia: Diver & DPV,RBW6737_20250724_092500.wav,0.937926260001066,0.8801306535944494,3.0,-40.70867
Croatia: Diver & DPV,RBW6737_20250724_092600.wav,0.9207122465166301,0.9103899415104694,3.0,-39.45501
Croatia: Diver & DPV,RBW6737_20250724_092700.wav,0.9373579104218098,0.9326103295058398,3.0,-39.630856
Croatia: Diver & DPV,RBW6737_20250724_092800.wav,0.9739258632538031,0.9691807866323239,3.0,-39.986237
Croatia: Diver & DPV,RBW6737_20250724_092900.wav,0.9910367568507944,0.9541863047249826,3.0,-40.0168
Croatia: Diver & DPV,RBW6737_20250724_093000.wav,0.9867837713880405,0.9355487682277758,3.0,-39.696735
