Label,File,Jf,Ja,Bandwidth,Power_dB,SubDataset,P2Median
Hear My Ship: Motor Boats,Motorboat_01.09.23_121753_20secCPA.wav,0.6854550950512299,0.9184765775684132,5.0,-45.619812,,137.52808232077533
Hear My Ship: Motor Boats,Motorboat_01.09.23_121911_20secCPA.wav,0.9826805524599712,0.927893223579672,4.0,-43.00641,,15.227214967479933
Hear My Ship: Motor Boats,Motorboat_01.09.23_122223_20secCPA.wav,0.4439716809579363,0.7411272100067696,3.0,-40.74356,,229.70303837928896
Hear My Ship: Motor Boats,Motorboat_01.09.23_130106_20secCPA.wav,0.9998305958069424,0.9327713985509396,4.0,-45.364212,,67.29958984626278
Hear My Ship: Motor Boats,Motorboat_01.09.23_131148_20secCPA.wav,0.8642857142857143,0.9069002139646324,3.0,-41.126434,,3.958666678447925
Hear My Ship: Motor Boats,Motorboat_01.09.23_132059_20secCPA.wav,0.9893869410035692,0.8954907501940705,3.0,-44.97343,,4.721494058543786
Hear My Ship: Motor Boats,Motorboat_01.09.23_132459_20secCPA.wav,0.9026227252780272,0.8834714727294565,5.0,-50.068665,,69.69366977993351
Hear My Ship: Motor Boats,Motorboat_01.09.23_133458_20secCPA.wav,0.9421123480555144,0.9753385063164036,3.0,-46.70401,,11.982803894968082
Hear My Ship: Motor Boats,Motorboat_01.09.23_134437_20secCPA.wav,0.9878099556034776,0.7546884300369356,4.0,-39.330765,,8.449362702420167
Hear My Ship: Motor Boats,Motorboat_01.09.23_134609_20secCPA.wav,0.6165637573104253,0.8673677324543556,2.0,-43.462505,,49.074308339145226
Hear My Ship: Motor Boats,Motorboat_01.09.23_134935_20secCPA.wav,0.987645408319402,0.8593949565068847,3.0,-42.655964,,6.578314450364435
Hear My Ship: Motor Boats,Motorboat_01.09.23_141044_20secCPA.wav,0.9622470933522624,0.9096230434074566,2.0,-39.692562,,21.731764012517623
Hear My Ship: Motor Boats,Motorboat_01.09.23_141834_20secCPA.wav,0.99988290505662,0.9064638138829484,6.0,-45.76184,,31.497094147817016
Hear My Ship: Motor Boats,Motorboat_01.09.23_142857_20secCPA.wav,0.8623408049657331,0.9237849855373448,11.0,-38.009346,,501.841186616028
Hear My Ship: Motor Boats,Motorboat_01.09.23_144457_20secCPA.wav,0.8117832879639957,0.9490207607102384,3.0,-48.638973,,19.534233861542944
Hear My Ship: Motor Boats,Motorboat_01.09.23_151844_20secCPA.wav,0.99276377643887,0.8493228811791692,4.0,-38.132618,,4.511975888125956
Hear My Ship: Motor Boats,Motorboat_01.09.23_160533_20secCPA.wav,0.9888372197085604,0.9309189376042448,28.0,-42.46801,,37.308457949367146
Hear My Ship: Motor Boats,Motorboat_01.09.23_162309_20secCPA.wav,0.9060635592065996,0.8828937592293998,3.0,-52.062984,,6.8316991976631245
Hear My Ship: Motor Boats,Motorboat_01.09.23_162951_20secCPA.wav,0.9875991087136572,0.8508508913664428,4.0,-42.970867,,13.23117617645281
Hear My Ship: Motor Boats,Motorboat_01.09.23_163438_20secCPA.wav,0.9132668397589224,0.8658415032117488,7.0,-43.228474,,362.7747029646613
Hear My Ship: Motor Boats,Motorboat_01.09.23_171501_20secCPA.wav,0.3829566327468104,0.8176215671653856,3.0,-46.09594,,76.05819173263485
Hear My Ship: Motor Boats,Motorboat_01.09.23_172512_20secCPA.wav,0.9301698914872736,0.863747507715063,3.0,-42.653473,,20.770478021787675
Hear My Ship: Motor Boats,Motorboat_01.09.23_183934_20secCPA.wav,0.6019660208564297,0.8277976950874903,2.0,-40.069218,,175.4821198353388
Hear My Ship: Motor Boats,Motorboat_01.09.23_184334_20secCPA.wav,0.7024153622700741,0.9471881453729843,3.0,-47.777557,,34.98955230702022
Hear My Ship: Motor Boats,Motorboat_01.09.23_184512_20secCPA.wav,0.5443021415033715,0.9510590471925116,5.0,-47.282204,,7.267847612675566
Hear My Ship: Motor Boats,Motorboat_02.08.23_110547_20secCPA.wav,0.7377570693289055,0.892420778851397,3.0,-40.693527,,133.10990224870793
Hear My Ship: Motor Boats,Motorboat_02.08.23_111713_20secCPA.wav,0.926185877075852,0.8793782935766117,3.0,-40.626225,,13.472607626142544
Hear My Ship: Motor Boats,Motorboat_02.08.23_112229_20secCPA.wav,0.9423518696885708,0.9179734055548028,3.0,-46.240612,,29.558476790368303
Hear My Ship: Motor Boats,Motorboat_02.08.23_112421_20secCPA.wav,0.9876186515236344,0.8654627292523698,3.0,-43.366283,,33.611977706813256
Hear My Ship: Motor Boats,Motorboat_02.08.23_113110_20secCPA.wav,0.919446424980347,0.9257562947108916,4.0,-50.817112,,36.95508544626527
Hear My Ship: Motor Boats,Motorboat_02.08.23_115002_20secCPA.wav,0.9999645873059112,0.9051117784512348,5.0,-36.168606,,34.672846491640826
Hear My Ship: Motor Boats,Motorboat_02.08.23_115547_20secCPA.wav,0.7513073666521404,0.8570917981045926,3.0,-47.51557,,84.5922996005193
Hear My Ship: Motor Boats,Motorboat_02.08.23_120645_20secCPA.wav,0.736214145651959,0.9717439495667254,3.0,-45.77541,,4.929725363566493
Hear My Ship: Motor Boats,Motorboat_02.08.23_124357_20secCPA.wav,0.8078369015945575,0.7541711121399702,3.0,-52.099495,,11.929417004697877
Hear My Ship: Motor Boats,Motorboat_02.08.23_124509_20secCPA.wav,0.999490697465972,0.9044413436946708,2.0,-45.289005,,40.93761862802617
Hear My Ship: Motor Boats,Motorboat_02.08.23_125004_20secCPA.wav,0.9801791710734296,0.932466402148202,2.0,-41.374023,,14.908564784939758
Hear My Ship: Motor Boats,Motorboat_02.08.23_130949_20secCPA.wav,0.8124191155047531,0.9074757378749838,3.0,-38.03875,,15.872535657196478
Hear My Ship: Motor Boats,Motorboat_02.08.23_131436_20secCPA.wav,0.9999933058997827,0.9002458449525647,3.0,-45.216366,,56.391430113374405
Hear My Ship: Motor Boats,Motorboat_02.08.23_134925_20secCPA.wav,0.5058556483131261,0.910502011151591,3.0,-44.237144,,25.97424745401188
Hear My Ship: Motor Boats,Motorboat_02.08.23_135128_20secCPA.wav,0.9859447012927464,0.8170255346879842,4.0,-43.20253,,8.71654286450305
Hear My Ship: Motor Boats,Motorboat_02.08.23_140109_20secCPA.wav,0.9610804830714842,0.6946185896872955,6.0,-34.210632,,14.69848938388332
